imageName,title,imageURL,author,date,technique,inventaire,dimensions,object_type,topic,category,institution,description,notes,sourceOmbres chinoises : le magicien FIE IPO 038.jpg,Ombres chinoises : le magicien,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_038_009.jpg,"Gangel, Louis Auguste (1828-1879). Imprimeur",1858/1861,"1 estampe en noir et blanc, 455 x 345 mm",FIE IPO 038,,image populaire,"[u""th\xe9\xe2tre d'ombres"", u'magie']",Collections of the Bibliothèques-Médiathèques de Metz,,Planche n°9,Imagerie GANGEL et DIDION (Metz),https://galeries.limedia.fr/ark:/79345/dwf1wcgr35pnr211/
Le Prince émeraude FIE IPO 044.jpg,Le Prince émeraude,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_044_017.jpg,"Gangel, Louis Auguste (1828-1879). Imprimeur",1858/1860,"1 estampe en couleur, 360 x 460 mm",FIE IPO 044,,image populaire,"[u'conte', u'prince', u'f\xe9e', u'mariage']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,,Imagerie GANGEL et DIDION (Metz),https://galeries.limedia.fr/ark:/79345/dmdwc1zj4h336488/
"Marie, l'enfant de la fée FIE IPO 063.jpg","Marie, l'enfant de la fée",https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_063_052.jpg,,1875/1888,"1 estampe en couleur, 282 x 400 mm",FIE IPO 063,,image populaire,"[u'fillette', u'f\xe9e']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,image n°575,Imagerie Olivier-Pinot (Epinal),https://galeries.limedia.fr/ark:/79345/d9bvwnl5l3jc39df/
La fée des buissons FIE IPO 73.jpg,La fée des buissons,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_073_001.jpg,"Vagné, Marcel (1842-1901)",1880/1903,"1 estampe en couleur, 286 x 409 mm",FIE IPO 73,,image populaire,"[u'conte', u'f\xe9e']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,Planche n°1326,Imagerie de Pont-à-Mousson Marcel Vagné (Pont-à-Mousson),https://galeries.limedia.fr/ark:/79345/d01wd9f1586b6hw1/
Conservez cet opuscule P-FG-ES-04365.jpg,Conservez cet opuscule,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B543956101_P-FG-ES-04365.jpg,"Goury, Georges (1877-1959). Ancien possesseur",1900/1950,Papier ,P-FG-ES-04365,222 x 278 mm,estampe,"[u'F\xe9es', u'Famille']",Collections of the Bibliothèque municipale de Nancy,Bibliothèque municipale de Nancy,Date incertaine,,https://galeries.limedia.fr/ark:/31124/dqcwpxm95j8vlkr9/
La petite souris FIE IPO 063.jpg,La petite souris,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_063_019.jpg,,1860/1872,"1 estampe en couleur, 278 x 410 mm",FIE IPO 063,,image populaire,"[u'roi', u'reine', u'f\xe9e', u'souris']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,image n°466,Imagerie Pinot et Sagaire (Epinal),https://galeries.limedia.fr/ark:/79345/d8rk4z7s52p3phl1/
Epingline et Aiguillette ou la fée laborieuse : nouveau conte des fées FIE IPO 050.jpg,Epingline et Aiguillette ou la fée laborieuse : nouveau conte des fées,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_050_003.jpg,"Thomas, Charles (1825?-1886). Imprimeur",1861/1869,"1 estampe en couleur, 330 x 430 mm",FIE IPO 050,,image populaire,"[u'conte', u'f\xe9e']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,Image n°151,Imagerie THOMAS (Metz),https://galeries.limedia.fr/ark:/79345/dlq5rv2wnvm3s7k8/
Le Magicien Rukuku FIE IPO 034.jpg,Le Magicien Rukuku,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_034_015.jpg,"Gangel, Louis Auguste (1828-1879). Imprimeur",1858/1861,"1 estampe en couleur, 295 x 430 mm",FIE IPO 034,,image populaire,"[u'conte', u'magie', u'f\xe9e', u'Moyen-Orient']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,Image n°133,Imagerie GANGEL et DIDION (Metz),https://galeries.limedia.fr/ark:/79345/djl54fmcg6jnjkzx/
Le Cheveu du diable FIE IPO 035.jpg,Le Cheveu du diable,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_035_002.jpg,"Gangel, Louis Auguste (1828-1879). Imprimeur",1858/1861,"1 estampe en couleur, 305 x 430 mm",FIE IPO 035,,image populaire,"[u'conte', u'f\xe9e', u'alchimie', u'seigneur']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,Image n°132,Imagerie GANGEL et DIDION (Metz),https://galeries.limedia.fr/ark:/79345/djcb8t26tv9hw97l/
Epingline et Aiguillette ou la fée laborieuse : nouveau conte des fées FIE IPO 052.jpg,Epingline et Aiguillette ou la fée laborieuse : nouveau conte des fées,https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_052_022.jpg,"Thomas, Charles (1825?-1886). Imprimeur",1861/1869,"1 estampe en couleur, 350 x 450 mm",FIE IPO 052,,image populaire,"[u'conte', u'f\xe9e']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,,Imagerie THOMAS et ROY (Metz),https://galeries.limedia.fr/ark:/79345/d0zzwdmxjd3tn4pr/
"Marie, l'enfant de la fée FIE IPO 063.jpg","Marie, l'enfant de la fée",https://rgw.atolcd.com/swift/v1/sillon_container_prod/entrepot/B574636101_FIE_IPO_063_052.jpg,,1875/1888,"1 estampe en couleur, 282 x 400 mm",FIE IPO 063,,image populaire,"[u'fillette', u'f\xe9e']",Collections of the Bibliothèques-Médiathèques de Metz,Bibliothèques Médiathèques de Metz,image n°575,Imagerie Olivier-Pinot (Epinal),https://galeries.limedia.fr/ark:/79345/d9bvwnl5l3jc39df/
